BJD RV eRV Sindex Halpha PhotonCount ObsTime
2458675.59997 21.26 0.68 0.1881 0.04391 19928 3
2458675.60074 20.78 0.7 0.1878 0.04396 21587 3
2458675.60149 20.45 0.68 0.1861 0.0439 21351 3
2458675.60226 22.39 0.67 0.1883 0.04395 18693 3
2458675.60302 21.92 0.72 0.189 0.04399 17585 3
2458675.60378 21.78 0.69 0.1859 0.04397 18290 3
2458675.60457 21.13 0.67 0.1854 0.04405 20603 3
2458675.60534 21.54 0.71 0.1864 0.04386 20874 3
2458675.6061 21.05 0.66 0.1871 0.04404 28907 3
2458675.60688 20.67 0.69 0.1864 0.04411 23746 3
2458676.45812 23.71 0.7 0.185 0.04388 20013 4
2458676.45889 22.03 0.67 0.1842 0.04379 24142 4
2458676.45965 22.36 0.71 0.188 0.04388 14921 2
2458676.46041 25.19 0.77 0.1944 0.04374 8800 2
2458676.46116 34.62 0.92 0.2182 0.04368 2647 2
2458676.46191 27.07 0.84 0.2042 0.04378 4526 2
2458676.46265 29.96 0.86 0.2129 0.04376 3439 2
2458676.46341 32 0.88 0.2143 0.04379 3200 2
2458676.46417 24.98 0.83 0.2038 0.04376 5000 2
2458676.46493 28.61 0.78 0.1972 0.04392 6022 3
2458677.46198 22.71 0.66 0.1849 0.04384 20307 5
2458677.46276 22.94 0.69 0.1827 0.04397 30475 5
2458677.46354 18.62 0.65 0.1819 0.04389 37286 5
2458677.46432 20 0.68 0.182 0.04393 35577 5
2458677.4651 20.41 0.65 0.1814 0.04388 36799 5
2458677.46589 19.5 0.65 0.1815 0.04397 38436 5
2458677.46669 19.32 0.66 0.1808 0.04397 41785 5
2458677.46747 19.98 0.67 0.1819 0.04398 39989 5
2458677.46827 20.51 0.66 0.1816 0.04393 41807 5
2458677.46905 19.76 0.66 0.1822 0.04398 42525 5
2458678.52358 17.42 0.64 0.1842 0.04418 38451 5
2458678.5245 18.13 0.62 0.1854 0.04435 26768 4
2458678.52528 17.47 0.66 0.1858 0.04423 25915 4
2458678.52604 18.09 0.68 0.1894 0.04422 17759 4
2458678.52682 18.73 0.71 0.1929 0.04439 9754 4
2458678.52759 16.21 0.74 0.1981 0.04442 6477 4
2458678.52837 16.5 0.68 0.186 0.04437 19951 4
2458678.52914 17.83 0.69 0.1953 0.04436 8644 4
2458678.52992 18.97 0.65 0.1849 0.04446 22754 4
2458678.53068 18.25 0.68 0.1854 0.04445 29594 4
2458679.46039 15.72 0.66 0.1816 0.04378 61115 6
2458679.46119 16.54 0.64 0.1823 0.04383 57572 6
2458679.46197 15.67 0.63 0.1858 0.04379 20499 2
2458679.46272 16.97 0.62 0.1868 0.04379 20574 2
2458679.46347 17.49 0.63 0.1899 0.04366 17617 2
2458679.46421 14.75 0.64 0.1859 0.04393 18601 2
2458679.46498 16.47 0.67 0.1899 0.04405 16974 2
2458679.46573 16.33 0.63 0.1877 0.04387 19383 2
2458679.46649 15.76 0.66 0.1857 0.04408 22343 2
2458679.46723 15.03 0.68 0.1848 0.044 19646 2
2458680.46147 12.3 0.62 0.1858 0.04398 30498 3
2458680.46229 19.29 0.7 0.1956 0.04447 7983 2
2458680.46304 19.48 0.67 0.2018 0.04434 8680 2
2458680.4638 18.4 0.62 0.1911 0.04448 9881 2
2458680.46455 18.91 0.67 0.1978 0.04433 9145 2
2458680.4653 18.35 0.65 0.1924 0.04468 11651 2
2458680.46605 16.97 0.63 0.1914 0.04464 16997 2
2458680.46681 16.32 0.65 0.1898 0.04464 18120 2
2458680.46757 17.54 0.64 0.1949 0.04447 12311 2
2458680.46832 14.11 0.62 0.1897 0.0445 21581 2
2458681.4578 13.77 0.58 0.1863 0.04401 36508 6
2458681.45877 13.46 0.58 0.1873 0.04392 19523 3
2458681.45955 13.75 0.6 0.1861 0.04389 25935 3
2458681.46031 12.37 0.58 0.1853 0.04411 23164 3
2458681.46108 14.2 0.61 0.1862 0.04412 23989 3
2458681.46183 14.82 0.62 0.1876 0.04412 21813 3
2458681.46259 12.53 0.58 0.1874 0.04402 21813 3
2458681.46336 13.9 0.57 0.1879 0.04407 19678 3
2458681.46412 13.09 0.6 0.1855 0.04389 24892 3
2458681.46487 12.94 0.59 0.1863 0.04428 25266 3
2458682.47063 12.71 0.57 0.1867 0.04348 40554 5
2458682.47148 12.22 0.54 0.1902 0.04339 17505 2
2458682.47224 12.09 0.61 0.1931 0.04346 14343 2
2458682.473 13.71 0.58 0.1937 0.0435 12102 2
2458682.47375 11.8 0.62 0.1939 0.04368 13232 2
