t-tmin RV eRV
0 -6 1.74
0.0029899999499321 2.02 1.55
51.9560300000012 -4.87 1.19
141.749059999827 0.76 1.03
383.960409999825 1.55 1.06
463.851460000034 -1.48 1.11
892.69169999985 -0.79 0.98
1084.00272999983 3.36 0.99
1144.96560000023 -3.88 1.03
1155.96912000002 -2.34 1.13
1230.74809999997 0.16 1.6
1233.73508000001 -1.64 1.02
1237.72646000003 0 1.12
1300.63224000018 -2.14 1.25
1492.92797000008 -4.68 0.98
1495.89564999985 -3.22 1.03
1499.93228999991 0.02 0.95
1501.85106999986 -0.75 1.03
1528.90424000006 -1.27 0.93
1529.88140999991 0.1 1.02
1615.7159099998 -1.76 1.28
1821.96377999987 1.93 0.93
1826.00883999979 -0.72 0.96
1851.01777999988 -2.13 1.01
1863.85788000003 -1.5 1.02
1917.84102999978 -2.66 1.06
1922.84452999989 0.04 1.07
1999.63112000003 -1.41 1.08
2188.9563099998 0.5 1.07
2196.01599999983 2.2 0.98
2249.93155999994 -1.35 1.14
2271.85976999998 -1.43 1.04
2277.85554999998 -0.68 1.02
2304.76977000013 1.78 1.05
2354.67719000019 -1.07 1.15
2560.00834000017 1.75 0.91
2560.96046000021 3.09 0.92
2564.94096999988 -0.08 1.06
2624.90732999984 1.18 0.97
2661.81539000012 -0.07 1.1
3002.84255000018 0.96 0.87
3003.90501999995 1.88 0.9
3004.89015999995 2.04 0.87
3005.82159999991 1.22 0.84
3006.86761000007 1.22 0.79
3007.77471000003 0.53 0.83
3008.79321999988 0.55 0.79
3063.72328000003 -0.79 0.89
3301.96716 2.76 0.93
3328.94933000021 1.21 1.04
3328.9546099999 2.66 1.1
3423.7426 -0.56 0.94
