t-tmin RV eRV
0 21.26 0.68
0.000770000275224447 20.78 0.7
0.00151999993249774 20.45 0.68
0.00229000020772219 22.39 0.67
0.00304999994114041 21.92 0.72
0.00381000014021993 21.78 0.69
0.00460000010207295 21.13 0.67
0.00536999991163611 21.54 0.71
0.00613000011071563 21.05 0.66
0.00690999999642372 20.67 0.69
0.858150000218302 23.71 0.7
0.858920000027865 22.03 0.67
0.859680000226945 22.36 0.71
0.860439999960363 25.19 0.77
0.861190000083297 34.62 0.92
0.861940000206232 27.07 0.84
0.862680000253022 29.96 0.86
0.86343999998644 32 0.88
0.864200000185519 24.98 0.83
0.864959999918938 28.61 0.78
1.86201000027359 22.71 0.66
1.86279000015929 22.94 0.69
1.863570000045 18.62 0.65
1.86434999993071 20 0.68
1.86513000028208 20.41 0.65
1.86592000024393 19.5 0.65
1.86672000028193 19.32 0.66
1.86750000016764 19.98 0.67
1.86830000020564 20.51 0.66
1.86908000009134 19.76 0.66
2.9236099999398 17.42 0.64
2.92452999996021 18.13 0.62
2.92531000031158 17.47 0.66
2.926070000045 18.09 0.68
2.92684999993071 18.73 0.71
2.92762000020593 16.21 0.74
2.92840000009164 16.5 0.68
2.92917000036687 17.83 0.69
2.92995000025257 18.97 0.65
2.93070999998599 18.25 0.68
3.86042000027373 15.72 0.66
3.86122000031173 16.54 0.64
3.86200000019744 15.67 0.63
3.86275000032037 16.97 0.62
3.86349999997765 17.49 0.63
3.86424000002444 14.75 0.64
3.86501000029966 16.47 0.67
3.86575999995694 16.33 0.63
3.86652000015602 15.76 0.66
3.8672600002028 15.03 0.68
4.86150000011548 12.3 0.62
4.86232000030577 19.29 0.7
4.86306999996305 19.48 0.67
4.86383000016212 18.4 0.62
4.86458000028506 18.91 0.67
4.86532999994233 18.35 0.65
4.86608000006527 16.97 0.63
4.86684000026435 16.32 0.65
4.86759999999776 17.54 0.64
4.8683500001207 14.11 0.62
5.85783000010997 13.77 0.58
5.85880000004545 13.46 0.58
5.85957999993116 13.75 0.6
5.86034000013024 12.37 0.58
5.8611099999398 14.2 0.61
5.86186000006273 14.82 0.62
5.86262000026181 12.53 0.58
5.86339000007138 13.9 0.57
5.86415000027046 13.09 0.6
5.86489999992773 12.94 0.59
6.87066000001505 12.71 0.57
6.87150999996811 12.22 0.54
6.87227000016719 12.09 0.61
6.87303000036627 13.71 0.58
6.87378000002354 11.8 0.62
6.87453000014648 13.57 0.62
6.87529999995604 13.07 0.57
6.87605000007898 11.47 0.61
6.87680000020191 11.24 0.57
6.87755000032485 13.25 0.56
7.88682000013068 13.43 0.56
7.88767000008374 13.28 0.56
7.89111000020057 11.88 0.57
7.89188000001013 13.9 0.56
7.89265000028536 12.82 0.54
7.89341000001878 12.31 0.58
7.89415000006557 13.11 0.61
7.89492999995127 13.4 0.58
7.8957000002265 12.76 0.54
7.89647000003606 13.1 0.57
8.86091000027955 13.18 0.51
8.86181000014767 13.19 0.54
8.86257999995723 13.2 0.54
8.86334000015631 14.22 0.55
8.86412000004202 14.72 0.56
8.8648800002411 13.66 0.53
8.86563999997452 13.56 0.54
8.86642999993637 12.7 0.51
8.86719000013545 15.69 0.53
8.86795000033453 13.57 0.54
9.86194000020623 13.92 0.69
9.86379000032321 13.33 0.56
9.86468000011519 12.37 0.53
9.86553000006825 12.61 0.54
9.86633000010625 12.4 0.5
9.86710999999195 12.9 0.54
9.86789999995381 12.71 0.49
9.86868000030518 12.6 0.51
9.86944000003859 12.11 0.49
9.87020000023767 12.4 0.51
27.8692999999039 -1.94 0.43
27.8702600002289 -1.33 0.47
27.8710300000384 -1.08 0.47
27.8717900002375 -2.44 0.39
27.8725499999709 -1.71 0.4
27.8733200002462 -1.34 0.44
27.8740799999796 -1.93 0.44
27.874860000331 -1.96 0.4
27.8756200000644 -1.33 0.41
27.8763800002635 0 0.43
28.8601899999194 2.43 0.47
28.8610400003381 0.58 0.42
28.8618200002238 0.68 0.45
28.8625900000334 0.16 0.44
28.8633500002325 0.96 0.45
28.8641400001943 2.45 0.42
28.8649100000039 7.76 0.46
28.8656900003552 -1.54 0.43
28.8664800003171 2.7 0.44
28.8672400000505 0.73 0.45
29.8648999999277 -4.61 0.42
29.8661100002937 -4.31 0.43
29.8668900001794 -4.41 0.43
29.8676700000651 -3.43 0.41
29.8684400003403 -2.87 0.44
29.8692200002261 -5.09 0.43
29.8700000001118 -3.26 0.43
29.8707699999213 -3.56 0.4
29.8715500002727 -3.22 0.42
29.8723400002345 -3.53 0.4
30.8607200002298 -4.69 0.4
30.8615700001828 -4.3 0.44
30.8623500000685 -4.76 0.44
30.8631200003438 -5.34 0.42
30.8639000002295 -5.48 0.43
30.864670000039 -4.75 0.44
30.8654499999247 -4.61 0.44
30.8662100001238 -4.9 0.43
30.8669700003229 -4.24 0.43
30.8677500002086 -4.35 0.41
31.8719999999739 -1.8 0.47
31.8728300002404 0.05 0.46
31.8736200002022 -4.59 0.45
31.8744100001641 16.92 0.61
31.8751900000498 0.67 0.5
31.8759699999355 -0.88 0.43
31.8767400002107 -1.69 0.48
31.8775200000964 2.14 0.5
31.878289999906 -1.91 0.46
31.8790800003335 -1.4 0.47
32.8740400001407 -7.11 0.45
32.8748000003397 -5.13 0.45
32.875549999997 -6.67 0.45
32.87630000012 -6.66 0.42
32.8770699999295 -7.14 0.46
32.8778300001286 -6.28 0.43
32.8785800002515 -5.78 0.46
32.8793399999849 -7.66 0.43
33.8667000001296 -6.93 0.48
33.8675999999978 -9.45 0.45
33.8683600001968 -7.33 0.46
33.8691300000064 -7.95 0.46
33.8699000002816 -9.09 0.45
33.8706600000151 -8.02 0.45
33.871410000138 -7.95 0.42
33.8721600002609 -8.7 0.44
33.8729199999943 -8.36 0.46
33.8736900002696 -8.4 0.41
34.8662300002761 -4.83 0.46
34.8671400002204 -6.78 0.45
34.8678999999538 -6.34 0.43
34.8686899999157 -6.58 0.45
34.8694500001147 -5.81 0.47
34.8702100003138 -5.9 0.45
34.8709800001234 -6.25 0.45
34.8717300002463 -6.12 0.46
34.872510000132 -6.33 0.51
34.8732700003311 -6.1 0.47
36.8660699999891 2.26 0.51
36.8677400001325 -2.3 0.44
36.868509999942 -3.56 0.45
36.8692999999039 -4.21 0.49
36.8700900003314 -5.03 0.45
36.870860000141 -3.95 0.48
36.8716400000267 -3.64 0.48
36.8724299999885 -5.79 0.45
36.8732000002638 1.03 0.47
36.8739800001495 -4.36 0.48
37.8630300001241 -6.98 0.45
37.8639199999161 -6.01 0.44
37.8646900001913 -5.86 0.5
37.8654499999247 -5.75 0.49
37.8662300002761 -4.76 0.47
37.8670100001618 -8.24 0.46
37.8677600002848 -7.5 0.45
37.8685300000943 -7.28 0.48
37.8692900002934 -6.57 0.47
37.8700500000268 -6.7 0.46
38.864370000083 -6.64 0.47
38.8652300001122 -6.89 0.5
38.8659999999218 -6.23 0.47
38.866770000197 -6.87 0.48
38.8675400000066 -6.29 0.51
38.8683000002056 -5.79 0.5
38.8690800000913 -5.13 0.5
38.8698400002904 -6.55 0.47
38.8706100001 -5.92 0.52
38.8713799999095 -5.16 0.53
39.8642899999395 -2.92 0.54
39.865080000367 -5.93 0.48
39.8658500001766 -6.99 0.52
39.8666400001384 -6.27 0.52
39.8674000003375 -5.58 0.49
39.8681800002232 -7.82 0.53
39.8689399999566 -3.9 0.56
39.869720000308 -5.77 0.59
39.8704800000414 -2.98 0.59
40.864120000042 -10.57 0.46
40.8650299999863 -10.89 0.47
40.8657900001854 -11.98 0.47
40.8665700000711 -12.09 0.48
40.8673300002702 -11.26 0.47
40.8680700003169 -10.44 0.5
40.8688400001265 -11.7 0.47
40.8696099999361 -10.16 0.49
40.8703800002113 -10.21 0.48
40.8711399999447 -11.95 0.46
41.8625600002706 -9.09 0.49
41.8633500002325 -9.8 0.47
41.8641300001182 -8.93 0.46
41.8649100000039 -9.47 0.45
41.8657100000419 -10.59 0.47
41.8664899999276 -7.01 0.47
41.8672700002789 -9.48 0.45
41.8680500001647 -9.83 0.45
41.8688500002027 -9.78 0.49
41.8696400001645 -9.39 0.48
62.8750400003046 -29.32 0.4
62.8758300002664 -29.92 0.4
62.8766300003044 -28.77 0.36
62.8774399999529 -29.44 0.39
62.8782200003043 -30.29 0.38
62.8790400000289 -28.14 0.4
62.8798199999146 -29.13 0.42
62.8806100003421 -29.95 0.39
62.881400000304 -29.16 0.4
62.8821800001897 -28.72 0.42
63.8806100003421 -28.95 0.38
63.8814199999906 -28.79 0.39
63.8822099999525 -31.48 0.38
63.8829900003038 -31.7 0.41
63.8837900003418 -29.53 0.4
63.8845800003037 -31.03 0.39
63.8853800003417 -31.71 0.4
63.8861600002274 -31.38 0.36
63.8869600002654 -29.51 0.36
63.8877500002272 -31.42 0.37
64.8728200001642 -26.34 0.38
64.873649999965 -24.85 0.42
64.874499999918 -23.52 0.41
64.8753400002606 -22.68 0.42
64.8761900002137 -23.92 0.4
64.8770300000906 -22.61 0.41
64.8778699999675 -28.91 0.37
64.8786800000817 -28.14 0.38
64.8795100003481 -25.76 0.4
64.8803400001489 -28.81 0.36
65.8757899999619 -26.43 0.43
65.8765899999999 -30.67 0.41
65.877400000114 -29.55 0.4
65.8782200003043 -29.34 0.4
65.8790500001051 -29.25 0.39
65.8798700002953 -29.81 0.39
65.8807000000961 -25.58 0.4
65.8815700002015 -26.45 0.39
