t-tmin RV eRV
0 14.46 1.12
86.8677699998952 9.43 1.2
512.720830000006 -5.13 1.26
798.844159999862 4.51 1.31
809.861860000063 0.49 1.39
1166.91406999994 -10.18 1.27
1210.80714000016 -1.91 1.84
1215.81864000019 -5.54 1.5
1526.92460000003 5.91 1.38
1542.85289000021 6.25 1.18
1858.01385000022 -2.82 1.29
1864.95739000011 -1.12 1.35
1917.74770000018 2.91 1.34
1918.86915000016 -1.23 1.38
1980.71639000019 12.99 1.25
2189.01114000008 5.25 1.24
2214.03319999995 8.84 1.24
2273.88605999993 -2.42 1.15
2279.77392000007 -1.02 1.37
2925.98197000008 -1.27 1.04
2930.02258000011 -5.6 1.13
2952.94738999987 -7.5 1.31
2988.90189999994 -13.08 1.11
2988.90567999985 -13.51 1.27
3075.68143999996 -16.5 1.19
3075.68532000016 -14.85 1.23
3285.00774999987 1.35 1.35
3285.01054000016 0 1.32
3285.01342000021 3.83 1.41
3333.95662999991 4.18 1.22
3333.96253000014 5.1 1.28
3344.89669999992 7.07 1.24
3366.87289000023 1.51 1.2
